Day,Day_month,Month,Year,TSVALUE_UPDATED
1,1-Mar,Mar,1966,0
2,2-Mar,Mar,1966,0
3,3-Mar,Mar,1966,0
4,4-Mar,Mar,1966,0
5,5-Mar,Mar,1966,0
6,6-Mar,Mar,1966,0
7,7-Mar,Mar,1966,0
8,8-Mar,Mar,1966,0
9,9-Mar,Mar,1966,0
10,10-Mar,Mar,1966,0
11,11-Mar,Mar,1966,0
12,12-Mar,Mar,1966,0
13,13-Mar,Mar,1966,0
14,14-Mar,Mar,1966,0
15,15-Mar,Mar,1966,0
16,16-Mar,Mar,1966,0
17,17-Mar,Mar,1966,0
18,18-Mar,Mar,1966,0
19,19-Mar,Mar,1966,0
20,20-Mar,Mar,1966,5
21,21-Mar,Mar,1966,15
22,22-Mar,Mar,1966,0
23,23-Mar,Mar,1966,0
24,24-Mar,Mar,1966,0
25,25-Mar,Mar,1966,0
26,26-Mar,Mar,1966,0
27,27-Mar,Mar,1966,0
28,28-Mar,Mar,1966,0
29,29-Mar,Mar,1966,0
30,30-Mar,Mar,1966,0
31,31-Mar,Mar,1966,0
1,1-Apr,Apr,1966,0
2,2-Apr,Apr,1966,0
3,3-Apr,Apr,1966,0
4,4-Apr,Apr,1966,0
5,5-Apr,Apr,1966,0
6,6-Apr,Apr,1966,0
7,7-Apr,Apr,1966,0
8,8-Apr,Apr,1966,0
9,9-Apr,Apr,1966,0
10,10-Apr,Apr,1966,
11,11-Apr,Apr,1966,0
12,12-Apr,Apr,1966,0
13,13-Apr,Apr,1966,0
14,14-Apr,Apr,1966,0
15,15-Apr,Apr,1966,0
16,16-Apr,Apr,1966,0
17,17-Apr,Apr,1966,0
18,18-Apr,Apr,1966,0
19,19-Apr,Apr,1966,13
20,20-Apr,Apr,1966,0
21,21-Apr,Apr,1966,0
22,22-Apr,Apr,1966,0
23,23-Apr,Apr,1966,0
24,24-Apr,Apr,1966,0
25,25-Apr,Apr,1966,0
26,26-Apr,Apr,1966,0
27,27-Apr,Apr,1966,0
28,28-Apr,Apr,1966,0
29,29-Apr,Apr,1966,0
30,30-Apr,Apr,1966,0
1,1-May,May,1966,0
2,2-May,May,1966,0
3,3-May,May,1966,0
4,4-May,May,1966,0
5,5-May,May,1966,10
6,6-May,May,1966,1
7,7-May,May,1966,17
8,8-May,May,1966,0
9,9-May,May,1966,10
10,10-May,May,1966,37
11,11-May,May,1966,0
12,12-May,May,1966,5
13,13-May,May,1966,0
14,14-May,May,1966,0
15,15-May,May,1966,0
16,16-May,May,1966,0
17,17-May,May,1966,0
18,18-May,May,1966,0
19,19-May,May,1966,0
20,20-May,May,1966,0
21,21-May,May,1966,0
22,22-May,May,1966,0
23,23-May,May,1966,0
24,24-May,May,1966,0
25,25-May,May,1966,0
26,26-May,May,1966,6
27,27-May,May,1966,0
28,28-May,May,1966,
29,29-May,May,1966,
30,30-May,May,1966,
31,31-May,May,1966,
1,1-Jun,Jun,1966,
2,2-Jun,Jun,1966,0
3,3-Jun,Jun,1966,34
4,4-Jun,Jun,1966,63
5,5-Jun,Jun,1966,8
6,6-Jun,Jun,1966,17
7,7-Jun,Jun,1966,3
8,8-Jun,Jun,1966,0
9,9-Jun,Jun,1966,0
10,10-Jun,Jun,1966,0
11,11-Jun,Jun,1966,0
12,12-Jun,Jun,1966,2
13,13-Jun,Jun,1966,0
14,14-Jun,Jun,1966,0
15,15-Jun,Jun,1966,12
16,16-Jun,Jun,1966,14
17,17-Jun,Jun,1966,69
18,18-Jun,Jun,1966,23
19,19-Jun,Jun,1966,3
20,20-Jun,Jun,1966,50
21,21-Jun,Jun,1966,49
22,22-Jun,Jun,1966,85
23,23-Jun,Jun,1966,30
24,24-Jun,Jun,1966,8
25,25-Jun,Jun,1966,1
26,26-Jun,Jun,1966,9
27,27-Jun,Jun,1966,3
28,28-Jun,Jun,1966,7
29,29-Jun,Jun,1966,15
30,30-Jun,Jun,1966,87
1,1-Jul,Jul,1966,14
