Day,Day_month,Month,Year,TSVALUE_UPDATED
03,03-Jul,Jul,1964,0
04,04-Jul,Jul,1964,3
05,05-Jul,Jul,1964,18
06,06-Jul,Jul,1964,51
07,07-Jul,Jul,1964,11
08,08-Jul,Jul,1964,23
09,09-Jul,Jul,1964,92
10,10-Jul,Jul,1964,0
11,11-Jul,Jul,1964,23
12,12-Jul,Jul,1964,4
13,13-Jul,Jul,1964,0
14,14-Jul,Jul,1964,0
15,15-Jul,Jul,1964,4
16,16-Jul,Jul,1964,2
17,17-Jul,Jul,1964,68
18,18-Jul,Jul,1964,14
19,19-Jul,Jul,1964,31
20,20-Jul,Jul,1964,0
21,21-Jul,Jul,1964,3
22,22-Jul,Jul,1964,0
23,23-Jul,Jul,1964,67
24,24-Jul,Jul,1964,0
25,25-Jul,Jul,1964,14
26,26-Jul,Jul,1964,0
27,27-Jul,Jul,1964,0
28,28-Jul,Jul,1964,0
29,29-Jul,Jul,1964,35
30,30-Jul,Jul,1964,23
31,31-Jul,Jul,1964,12
01,01-Aug,Aug,1964,0
02,02-Aug,Aug,1964,0
03,03-Aug,Aug,1964,0
04,04-Aug,Aug,1964,0
05,05-Aug,Aug,1964,0
06,06-Aug,Aug,1964,0
07,07-Aug,Aug,1964,0
08,08-Aug,Aug,1964,0
09,09-Aug,Aug,1964,0
10,10-Aug,Aug,1964,24
11,11-Aug,Aug,1964,3
12,12-Aug,Aug,1964,13
13,13-Aug,Aug,1964,22
14,14-Aug,Aug,1964,20
15,15-Aug,Aug,1964,0
16,16-Aug,Aug,1964,5
17,17-Aug,Aug,1964,24
18,18-Aug,Aug,1964,0
19,19-Aug,Aug,1964,4
20,20-Aug,Aug,1964,18
21,21-Aug,Aug,1964,4
22,22-Aug,Aug,1964,5
23,23-Aug,Aug,1964,8
24,24-Aug,Aug,1964,28
25,25-Aug,Aug,1964,21
26,26-Aug,Aug,1964,3
27,27-Aug,Aug,1964,6
28,28-Aug,Aug,1964,1
29,29-Aug,Aug,1964,0
30,30-Aug,Aug,1964,11
31,31-Aug,Aug,1964,14
01,01-Sep,Sep,1964,0
02,02-Sep,Sep,1964,0
03,03-Sep,Sep,1964,19
04,04-Sep,Sep,1964,3
05,05-Sep,Sep,1964,20
06,06-Sep,Sep,1964,42
07,07-Sep,Sep,1964,5
08,08-Sep,Sep,1964,9
09,09-Sep,Sep,1964,4
10,10-Sep,Sep,1964,0
11,11-Sep,Sep,1964,0
12,12-Sep,Sep,1964,0
13,13-Sep,Sep,1964,0
14,14-Sep,Sep,1964,0
15,15-Sep,Sep,1964,0
16,16-Sep,Sep,1964,15
17,17-Sep,Sep,1964,0
18,18-Sep,Sep,1964,0
19,19-Sep,Sep,1964,6
20,20-Sep,Sep,1964,86
21,21-Sep,Sep,1964,0
22,22-Sep,Sep,1964,13
23,23-Sep,Sep,1964,7
24,24-Sep,Sep,1964,6
25,25-Sep,Sep,1964,0
26,26-Sep,Sep,1964,0
27,27-Sep,Sep,1964,0
28,28-Sep,Sep,1964,23
29,29-Sep,Sep,1964,3
30,30-Sep,Sep,1964,0
01,01-Oct,Oct,1964,0
02,02-Oct,Oct,1964,0
03,03-Oct,Oct,1964,0
04,04-Oct,Oct,1964,67
05,05-Oct,Oct,1964,53
06,06-Oct,Oct,1964,36
07,07-Oct,Oct,1964,42
08,08-Oct,Oct,1964,0
09,09-Oct,Oct,1964,0
10,10-Oct,Oct,1964,0
11,11-Oct,Oct,1964,0
12,12-Oct,Oct,1964,0
13,13-Oct,Oct,1964,0
14,14-Oct,Oct,1964,0
15,15-Oct,Oct,1964,0
16,16-Oct,Oct,1964,0
17,17-Oct,Oct,1964,0
18,18-Oct,Oct,1964,31
19,19-Oct,Oct,1964,73
20,20-Oct,Oct,1964,14
21,21-Oct,Oct,1964,3
22,22-Oct,Oct,1964,0
23,23-Oct,Oct,1964,23
24,24-Oct,Oct,1964,0
25,25-Oct,Oct,1964,0
26,26-Oct,Oct,1964,1
27,27-Oct,Oct,1964,47
28,28-Oct,Oct,1964,0
29,29-Oct,Oct,1964,0
30,30-Oct,Oct,1964,0
31,31-Oct,Oct,1964,0
01,01-Nov,Nov,1964,0
02,02-Nov,Nov,1964,0
03,03-Nov,Nov,1964,0
04,04-Nov,Nov,1964,0
05,05-Nov,Nov,1964,0
06,06-Nov,Nov,1964,36
07,07-Nov,Nov,1964,0
08,08-Nov,Nov,1964,0
09,09-Nov,Nov,1964,0
10,10-Nov,Nov,1964,0
11,11-Nov,Nov,1964,0
