Day,Day_month,Month,Year,TSVALUE_UPDATED
14,14-Jul,Jul,1977,5
15,15-Jul,Jul,1977,21
16,16-Jul,Jul,1977,31
17,17-Jul,Jul,1977,10
18,18-Jul,Jul,1977,0
19,19-Jul,Jul,1977,0
20,20-Jul,Jul,1977,0
21,21-Jul,Jul,1977,0
22,22-Jul,Jul,1977,0
23,23-Jul,Jul,1977,19
24,24-Jul,Jul,1977,0
25,25-Jul,Jul,1977,22
26,26-Jul,Jul,1977,15
27,27-Jul,Jul,1977,95
28,28-Jul,Jul,1977,38
29,29-Jul,Jul,1977,49
30,30-Jul,Jul,1977,40
31,31-Jul,Jul,1977,24
1,1-Aug,Aug,1977,9
2,2-Aug,Aug,1977,0
3,3-Aug,Aug,1977,39
4,4-Aug,Aug,1977,8
5,5-Aug,Aug,1977,31
6,6-Aug,Aug,1977,3
7,7-Aug,Aug,1977,6
8,8-Aug,Aug,1977,0
9,9-Aug,Aug,1977,0
10,10-Aug,Aug,1977,5
11,11-Aug,Aug,1977,7
12,12-Aug,Aug,1977,10
13,13-Aug,Aug,1977,27
14,14-Aug,Aug,1977,3
15,15-Aug,Aug,1977,53
16,16-Aug,Aug,1977,19
17,17-Aug,Aug,1977,24
18,18-Aug,Aug,1977,0
19,19-Aug,Aug,1977,2
20,20-Aug,Aug,1977,0
21,21-Aug,Aug,1977,0
22,22-Aug,Aug,1977,0
23,23-Aug,Aug,1977,0
24,24-Aug,Aug,1977,3
25,25-Aug,Aug,1977,0
26,26-Aug,Aug,1977,0
27,27-Aug,Aug,1977,3
28,28-Aug,Aug,1977,8
29,29-Aug,Aug,1977,156
30,30-Aug,Aug,1977,0
31,31-Aug,Aug,1977,25
1,1-Sep,Sep,1977,0
2,2-Sep,Sep,1977,0
3,3-Sep,Sep,1977,0
4,4-Sep,Sep,1977,2
5,5-Sep,Sep,1977,1
6,6-Sep,Sep,1977,14
7,7-Sep,Sep,1977,12
8,8-Sep,Sep,1977,7
9,9-Sep,Sep,1977,43
10,10-Sep,Sep,1977,0
11,11-Sep,Sep,1977,33
12,12-Sep,Sep,1977,24
13,13-Sep,Sep,1977,0
14,14-Sep,Sep,1977,0
15,15-Sep,Sep,1977,0
16,16-Sep,Sep,1977,8
17,17-Sep,Sep,1977,16
18,18-Sep,Sep,1977,0
19,19-Sep,Sep,1977,1
20,20-Sep,Sep,1977,9
21,21-Sep,Sep,1977,10
22,22-Sep,Sep,1977,0
23,23-Sep,Sep,1977,0
24,24-Sep,Sep,1977,60
25,25-Sep,Sep,1977,0
26,26-Sep,Sep,1977,0
27,27-Sep,Sep,1977,0
28,28-Sep,Sep,1977,0
29,29-Sep,Sep,1977,0
30,30-Sep,Sep,1977,0
1,1-Oct,Oct,1977,0
2,2-Oct,Oct,1977,0
3,3-Oct,Oct,1977,0
4,4-Oct,Oct,1977,0
5,5-Oct,Oct,1977,0
6,6-Oct,Oct,1977,0
7,7-Oct,Oct,1977,0
8,8-Oct,Oct,1977,0
9,9-Oct,Oct,1977,0
10,10-Oct,Oct,1977,0
11,11-Oct,Oct,1977,0
12,12-Oct,Oct,1977,0
13,13-Oct,Oct,1977,0
14,14-Oct,Oct,1977,0
15,15-Oct,Oct,1977,0
16,16-Oct,Oct,1977,0
17,17-Oct,Oct,1977,0
18,18-Oct,Oct,1977,0
19,19-Oct,Oct,1977,0
20,20-Oct,Oct,1977,0
21,21-Oct,Oct,1977,0
22,22-Oct,Oct,1977,0
23,23-Oct,Oct,1977,0
24,24-Oct,Oct,1977,0
25,25-Oct,Oct,1977,0
26,26-Oct,Oct,1977,0
27,27-Oct,Oct,1977,0
28,28-Oct,Oct,1977,0
29,29-Oct,Oct,1977,0
30,30-Oct,Oct,1977,0
31,31-Oct,Oct,1977,0
1,1-Nov,Nov,1977,0
2,2-Nov,Nov,1977,0
3,3-Nov,Nov,1977,0
4,4-Nov,Nov,1977,2
5,5-Nov,Nov,1977,2
6,6-Nov,Nov,1977,0
7,7-Nov,Nov,1977,0
8,8-Nov,Nov,1977,0
9,9-Nov,Nov,1977,0
10,10-Nov,Nov,1977,0
11,11-Nov,Nov,1977,0
12,12-Nov,Nov,1977,0
13,13-Nov,Nov,1977,0
14,14-Nov,Nov,1977,0
15,15-Nov,Nov,1977,0
16,16-Nov,Nov,1977,0
17,17-Nov,Nov,1977,0
18,18-Nov,Nov,1977,0
19,19-Nov,Nov,1977,0
20,20-Nov,Nov,1977,0
21,21-Nov,Nov,1977,0
22,22-Nov,Nov,1977,0
23,23-Nov,Nov,1977,0
24,24-Nov,Nov,1977,0
25,25-Nov,Nov,1977,0
26,26-Nov,Nov,1977,0
27,27-Nov,Nov,1977,0
28,28-Nov,Nov,1977,0
29,29-Nov,Nov,1977,0
30,30-Nov,Nov,1977,0
1,1-Dec,Dec,1977,0
2,2-Dec,Dec,1977,0
3,3-Dec,Dec,1977,0
4,4-Dec,Dec,1977,0
5,5-Dec,Dec,1977,0
6,6-Dec,Dec,1977,0
7,7-Dec,Dec,1977,1
8,8-Dec,Dec,1977,0
9,9-Dec,Dec,1977,0
10,10-Dec,Dec,1977,0
11,11-Dec,Dec,1977,0
12,12-Dec,Dec,1977,0
13,13-Dec,Dec,1977,0
14,14-Dec,Dec,1977,0
15,15-Dec,Dec,1977,0
16,16-Dec,Dec,1977,0
17,17-Dec,Dec,1977,0
18,18-Dec,Dec,1977,0
19,19-Dec,Dec,1977,0
20,20-Dec,Dec,1977,0
21,21-Dec,Dec,1977,0
22,22-Dec,Dec,1977,0
23,23-Dec,Dec,1977,0
24,24-Dec,Dec,1977,0
25,25-Dec,Dec,1977,0
26,26-Dec,Dec,1977,0
27,27-Dec,Dec,1977,0
28,28-Dec,Dec,1977,0
29,29-Dec,Dec,1977,0
30,30-Dec,Dec,1977,0
31,31-Dec,Dec,1977,0
1,1-Jan,Jan,1979,0
2,2-Jan,Jan,1979,0
3,3-Jan,Jan,1979,0
4,4-Jan,Jan,1979,0
5,5-Jan,Jan,1979,0
6,6-Jan,Jan,1979,0
7,7-Jan,Jan,1979,0
8,8-Jan,Jan,1979,0
9,9-Jan,Jan,1979,0
10,10-Jan,Jan,1979,0
11,11-Jan,Jan,1979,0
12,12-Jan,Jan,1979,0
13,13-Jan,Jan,1979,0
14,14-Jan,Jan,1979,0
15,15-Jan,Jan,1979,0
16,16-Jan,Jan,1979,0
17,17-Jan,Jan,1979,0
18,18-Jan,Jan,1979,0
19,19-Jan,Jan,1979,0
20,20-Jan,Jan,1979,0
21,21-Jan,Jan,1979,0
22,22-Jan,Jan,1979,0
23,23-Jan,Jan,1979,0
24,24-Jan,Jan,1979,0
25,25-Jan,Jan,1979,0
26,26-Jan,Jan,1979,0
27,27-Jan,Jan,1979,0
28,28-Jan,Jan,1979,0
29,29-Jan,Jan,1979,0
30,30-Jan,Jan,1979,0
31,31-Jan,Jan,1979,0
1,1-Feb,Feb,1979,0
2,2-Feb,Feb,1979,0
3,3-Feb,Feb,1979,0
4,4-Feb,Feb,1979,0
5,5-Feb,Feb,1979,0
6,6-Feb,Feb,1979,0
7,7-Feb,Feb,1979,0
8,8-Feb,Feb,1979,0
9,9-Feb,Feb,1979,0
10,10-Feb,Feb,1979,0
11,11-Feb,Feb,1979,0
12,12-Feb,Feb,1979,0
13,13-Feb,Feb,1979,0
14,14-Feb,Feb,1979,0
