Day,Day_month,Month,Year,TSVALUE_UPDATED
13,13-Jul,Jul,1949,3
14,14-Jul,Jul,1949,2
15,15-Jul,Jul,1949,4
16,16-Jul,Jul,1949,1
17,17-Jul,Jul,1949,34
18,18-Jul,Jul,1949,42
19,19-Jul,Jul,1949,143
20,20-Jul,Jul,1949,87
21,21-Jul,Jul,1949,279
22,22-Jul,Jul,1949,65
23,23-Jul,Jul,1949,12
24,24-Jul,Jul,1949,0
25,25-Jul,Jul,1949,1
26,26-Jul,Jul,1949,0
27,27-Jul,Jul,1949,0
28,28-Jul,Jul,1949,0
29,29-Jul,Jul,1949,11
30,30-Jul,Jul,1949,1
31,31-Jul,Jul,1949,
01,01-Aug,Aug,1949,
02,02-Aug,Aug,1949,
03,03-Aug,Aug,1949,
04,04-Aug,Aug,1949,
05,05-Aug,Aug,1949,
06,06-Aug,Aug,1949,
07,07-Aug,Aug,1949,
08,08-Aug,Aug,1949,
09,09-Aug,Aug,1949,
10,10-Aug,Aug,1949,
11,11-Aug,Aug,1949,
12,12-Aug,Aug,1949,
13,13-Aug,Aug,1949,
14,14-Aug,Aug,1949,
15,15-Aug,Aug,1949,
16,16-Aug,Aug,1949,
17,17-Aug,Aug,1949,
18,18-Aug,Aug,1949,
19,19-Aug,Aug,1949,
20,20-Aug,Aug,1949,
21,21-Aug,Aug,1949,
22,22-Aug,Aug,1949,52
23,23-Aug,Aug,1949,5
24,24-Aug,Aug,1949,25
25,25-Aug,Aug,1949,45
26,26-Aug,Aug,1949,5
27,27-Aug,Aug,1949,1
28,28-Aug,Aug,1949,0
29,29-Aug,Aug,1949,6
30,30-Aug,Aug,1949,0
31,31-Aug,Aug,1949,0
01,01-Sep,Sep,1949,3
02,02-Sep,Sep,1949,31
03,03-Sep,Sep,1949,20
04,04-Sep,Sep,1949,2
05,05-Sep,Sep,1949,0
06,06-Sep,Sep,1949,0
07,07-Sep,Sep,1949,0
08,08-Sep,Sep,1949,0
09,09-Sep,Sep,1949,2
10,10-Sep,Sep,1949,32
11,11-Sep,Sep,1949,9
12,12-Sep,Sep,1949,14
13,13-Sep,Sep,1949,0
14,14-Sep,Sep,1949,2
15,15-Sep,Sep,1949,7
16,16-Sep,Sep,1949,17
17,17-Sep,Sep,1949,0
18,18-Sep,Sep,1949,1
19,19-Sep,Sep,1949,0
20,20-Sep,Sep,1949,0
21,21-Sep,Sep,1949,1
22,22-Sep,Sep,1949,12
23,23-Sep,Sep,1949,0
24,24-Sep,Sep,1949,80
25,25-Sep,Sep,1949,4
26,26-Sep,Sep,1949,2
27,27-Sep,Sep,1949,7
28,28-Sep,Sep,1949,96
29,29-Sep,Sep,1949,172
30,30-Sep,Sep,1949,63
01,01-Oct,Oct,1949,11
02,02-Oct,Oct,1949,0
03,03-Oct,Oct,1949,0
04,04-Oct,Oct,1949,0
05,05-Oct,Oct,1949,0
06,06-Oct,Oct,1949,0
07,07-Oct,Oct,1949,0
08,08-Oct,Oct,1949,0
09,09-Oct,Oct,1949,0
10,10-Oct,Oct,1949,0
11,11-Oct,Oct,1949,0
12,12-Oct,Oct,1949,0
13,13-Oct,Oct,1949,20
14,14-Oct,Oct,1949,0
15,15-Oct,Oct,1949,20
16,16-Oct,Oct,1949,1
17,17-Oct,Oct,1949,0
18,18-Oct,Oct,1949,1
19,19-Oct,Oct,1949,0
20,20-Oct,Oct,1949,44
21,21-Oct,Oct,1949,0
22,22-Oct,Oct,1949,0
23,23-Oct,Oct,1949,0
24,24-Oct,Oct,1949,0
25,25-Oct,Oct,1949,0
26,26-Oct,Oct,1949,0
27,27-Oct,Oct,1949,0
28,28-Oct,Oct,1949,6
29,29-Oct,Oct,1949,0
30,30-Oct,Oct,1949,0
31,31-Oct,Oct,1949,1
01,01-Nov,Nov,1949,84
02,02-Nov,Nov,1949,0
03,03-Nov,Nov,1949,0
04,04-Nov,Nov,1949,0
05,05-Nov,Nov,1949,0
06,06-Nov,Nov,1949,0
07,07-Nov,Nov,1949,0
08,08-Nov,Nov,1949,0
09,09-Nov,Nov,1949,0
10,10-Nov,Nov,1949,0
11,11-Nov,Nov,1949,0
12,12-Nov,Nov,1949,0
13,13-Nov,Nov,1949,0
14,14-Nov,Nov,1949,0
15,15-Nov,Nov,1949,0
16,16-Nov,Nov,1949,0
