Day,Day_month,Month,Year,TSVALUE_UPDATED,,
29,29-Oct,Oct,1957,0,,
30,30-Oct,Oct,1957,0,,
31,31-Oct,Oct,1957,0,,
01,01-Nov,Nov,1957,0,,
02,02-Nov,Nov,1957,0,,
03,03-Nov,Nov,1957,0,,
04,04-Nov,Nov,1957,0,,
05,05-Nov,Nov,1957,0,,
06,06-Nov,Nov,1957,0,,
07,07-Nov,Nov,1957,0,,
08,08-Nov,Nov,1957,0,,
09,09-Nov,Nov,1957,0,,
10,10-Nov,Nov,1957,0,,
11,11-Nov,Nov,1957,0,,
12,12-Nov,Nov,1957,0,,
13,13-Nov,Nov,1957,0,,
14,14-Nov,Nov,1957,0,,
15,15-Nov,Nov,1957,0,,
16,16-Nov,Nov,1957,0,,
17,17-Nov,Nov,1957,0,,
18,18-Nov,Nov,1957,0,,
19,19-Nov,Nov,1957,0,,
20,20-Nov,Nov,1957,0,,
21,21-Nov,Nov,1957,0,,
22,22-Nov,Nov,1957,0,,
23,23-Nov,Nov,1957,0,,
24,24-Nov,Nov,1957,0,,
25,25-Nov,Nov,1957,0,,
26,26-Nov,Nov,1957,0,,
27,27-Nov,Nov,1957,0,,
28,28-Nov,Nov,1957,0,,
29,29-Nov,Nov,1957,0,,
30,30-Nov,Nov,1957,0,,
01,01-Dec,Dec,1957,0,,
02,02-Dec,Dec,1957,0,,
03,03-Dec,Dec,1957,0,,
04,04-Dec,Dec,1957,0,,
05,05-Dec,Dec,1957,0,,
06,06-Dec,Dec,1957,0,,
07,07-Dec,Dec,1957,0,,
08,08-Dec,Dec,1957,0,,
09,09-Dec,Dec,1957,0,,
10,10-Dec,Dec,1957,0,,
11,11-Dec,Dec,1957,0,,
12,12-Dec,Dec,1957,0,,
13,13-Dec,Dec,1957,0,,
14,14-Dec,Dec,1957,0,,
15,15-Dec,Dec,1957,0,,
16,16-Dec,Dec,1957,0,,
17,17-Dec,Dec,1957,0,,
18,18-Dec,Dec,1957,0,,
19,19-Dec,Dec,1957,0,,
20,20-Dec,Dec,1957,0,,
21,21-Dec,Dec,1957,0,,
22,22-Dec,Dec,1957,0,,
23,23-Dec,Dec,1957,0,,
24,24-Dec,Dec,1957,0,,
25,25-Dec,Dec,1957,0,,
26,26-Dec,Dec,1957,0,,
27,27-Dec,Dec,1957,0,,
28,28-Dec,Dec,1957,0,,
29,29-Dec,Dec,1957,0,,
30,30-Dec,Dec,1957,0,,
31,31-Dec,Dec,1957,0,,
01,01-Jan,Jan,1958,0,,
02,02-Jan,Jan,1958,0,,
03,03-Jan,Jan,1958,0,,
04,04-Jan,Jan,1958,0,,
05,05-Jan,Jan,1958,0,,
06,06-Jan,Jan,1958,0,,
07,07-Jan,Jan,1958,0,,
08,08-Jan,Jan,1958,0,,
09,09-Jan,Jan,1958,0,,
10,10-Jan,Jan,1958,0,,
11,11-Jan,Jan,1958,0,,
12,12-Jan,Jan,1958,0,,
13,13-Jan,Jan,1958,0,,
14,14-Jan,Jan,1958,0,,
15,15-Jan,Jan,1958,0,,
16,16-Jan,Jan,1958,0,,
17,17-Jan,Jan,1958,0,,
18,18-Jan,Jan,1958,0,,
19,19-Jan,Jan,1958,0,,
20,20-Jan,Jan,1958,0,,
21,21-Jan,Jan,1958,0,,
22,22-Jan,Jan,1958,0,,
23,23-Jan,Jan,1958,0,,
24,24-Jan,Jan,1958,0,,
25,25-Jan,Jan,1958,0,,
26,26-Jan,Jan,1958,0,,
27,27-Jan,Jan,1958,0,,
28,28-Jan,Jan,1958,0,,
29,29-Jan,Jan,1958,0,,
30,30-Jan,Jan,1958,3,,
31,31-Jan,Jan,1958,0,,
01,01-Feb,Feb,1958,0,,
02,02-Feb,Feb,1958,0,,
03,03-Feb,Feb,1958,0,,
04,04-Feb,Feb,1958,0,,
05,05-Feb,Feb,1958,0,,
06,06-Feb,Feb,1958,16,,
07,07-Feb,Feb,1958,0,,
08,08-Feb,Feb,1958,0,,
09,09-Feb,Feb,1958,0,,
10,10-Feb,Feb,1958,0,,
11,11-Feb,Feb,1958,0,,
