Day,Day_month,Month,Year,TSVALUE_UPDATED
10,10-Mar,Mar,1948,0
11,11-Mar,Mar,1948,0
12,12-Mar,Mar,1948,0
13,13-Mar,Mar,1948,0
14,14-Mar,Mar,1948,0
15,15-Mar,Mar,1948,0
16,16-Mar,Mar,1948,0
17,17-Mar,Mar,1948,0
18,18-Mar,Mar,1948,0
19,19-Mar,Mar,1948,0
20,20-Mar,Mar,1948,0
21,21-Mar,Mar,1948,0
22,22-Mar,Mar,1948,0
23,23-Mar,Mar,1948,0
24,24-Mar,Mar,1948,0
25,25-Mar,Mar,1948,0
26,26-Mar,Mar,1948,0
27,27-Mar,Mar,1948,0
28,28-Mar,Mar,1948,0
29,29-Mar,Mar,1948,0
30,30-Mar,Mar,1948,0
31,31-Mar,Mar,1948,0
01,01-Apr,Apr,1948,0
02,02-Apr,Apr,1948,0
03,03-Apr,Apr,1948,0
04,04-Apr,Apr,1948,0
05,05-Apr,Apr,1948,0
06,06-Apr,Apr,1948,0
07,07-Apr,Apr,1948,6
08,08-Apr,Apr,1948,0
09,09-Apr,Apr,1948,21
10,10-Apr,Apr,1948,0
11,11-Apr,Apr,1948,0
12,12-Apr,Apr,1948,0
13,13-Apr,Apr,1948,0
14,14-Apr,Apr,1948,0
15,15-Apr,Apr,1948,0
16,16-Apr,Apr,1948,0
17,17-Apr,Apr,1948,0
18,18-Apr,Apr,1948,0
19,19-Apr,Apr,1948,10
20,20-Apr,Apr,1948,36
21,21-Apr,Apr,1948,5
22,22-Apr,Apr,1948,64
23,23-Apr,Apr,1948,0
24,24-Apr,Apr,1948,32
25,25-Apr,Apr,1948,0
26,26-Apr,Apr,1948,12
27,27-Apr,Apr,1948,0
28,28-Apr,Apr,1948,0
29,29-Apr,Apr,1948,2
30,30-Apr,Apr,1948,12
01,01-May,May,1948,1
02,02-May,May,1948,7
03,03-May,May,1948,0
04,04-May,May,1948,
05,05-May,May,1948,0
06,06-May,May,1948,4
07,07-May,May,1948,89
08,08-May,May,1948,20
09,09-May,May,1948,2
10,10-May,May,1948,0
11,11-May,May,1948,0
12,12-May,May,1948,1
13,13-May,May,1948,10
14,14-May,May,1948,8
15,15-May,May,1948,0
16,16-May,May,1948,0
17,17-May,May,1948,0
18,18-May,May,1948,52
19,19-May,May,1948,28
20,20-May,May,1948,61
21,21-May,May,1948,0
22,22-May,May,1948,51
23,23-May,May,1948,8
24,24-May,May,1948,0
25,25-May,May,1948,20
26,26-May,May,1948,32
27,27-May,May,1948,4
28,28-May,May,1948,25
29,29-May,May,1948,0
30,30-May,May,1948,0
31,31-May,May,1948,1
01,01-Jun,Jun,1948,0
02,02-Jun,Jun,1948,0
03,03-Jun,Jun,1948,0
04,04-Jun,Jun,1948,5
