Day,Day_month,Month,Year,TSVALUE_UPDATED
11,11-Dec,Dec,1977,0
12,12-Dec,Dec,1977,0
13,13-Dec,Dec,1977,0
14,14-Dec,Dec,1977,0
15,15-Dec,Dec,1977,0
16,16-Dec,Dec,1977,0
17,17-Dec,Dec,1977,0
18,18-Dec,Dec,1977,0
19,19-Dec,Dec,1977,0
20,20-Dec,Dec,1977,0
21,21-Dec,Dec,1977,0
22,22-Dec,Dec,1977,0
23,23-Dec,Dec,1977,0
24,24-Dec,Dec,1977,0
25,25-Dec,Dec,1977,0
26,26-Dec,Dec,1977,0
27,27-Dec,Dec,1977,0
28,28-Dec,Dec,1977,0
29,29-Dec,Dec,1977,0
30,30-Dec,Dec,1977,0
31,31-Dec,Dec,1977,0
1,1-Jan,Jan,1978,0
2,2-Jan,Jan,1978,0
3,3-Jan,Jan,1978,0
4,4-Jan,Jan,1978,0
5,5-Jan,Jan,1978,0
6,6-Jan,Jan,1978,0
7,7-Jan,Jan,1978,0
8,8-Jan,Jan,1978,0
9,9-Jan,Jan,1978,0
10,10-Jan,Jan,1978,0
11,11-Jan,Jan,1978,0
12,12-Jan,Jan,1978,0
13,13-Jan,Jan,1978,0
14,14-Jan,Jan,1978,0
15,15-Jan,Jan,1978,0
16,16-Jan,Jan,1978,0
17,17-Jan,Jan,1978,0
18,18-Jan,Jan,1978,0
19,19-Jan,Jan,1978,0
20,20-Jan,Jan,1978,0
21,21-Jan,Jan,1978,0
22,22-Jan,Jan,1978,0
23,23-Jan,Jan,1978,0
24,24-Jan,Jan,1978,0
25,25-Jan,Jan,1978,0
26,26-Jan,Jan,1978,0
27,27-Jan,Jan,1978,0
28,28-Jan,Jan,1978,0
29,29-Jan,Jan,1978,0
30,30-Jan,Jan,1978,0
31,31-Jan,Jan,1978,0
1,1-Feb,Feb,1978,0
2,2-Feb,Feb,1978,0
3,3-Feb,Feb,1978,0
4,4-Feb,Feb,1978,0
5,5-Feb,Feb,1978,0
6,6-Feb,Feb,1978,0
7,7-Feb,Feb,1978,0
8,8-Feb,Feb,1978,0
9,9-Feb,Feb,1978,0
10,10-Feb,Feb,1978,0
11,11-Feb,Feb,1978,0
12,12-Feb,Feb,1978,0
13,13-Feb,Feb,1978,0
14,14-Feb,Feb,1978,0
15,15-Feb,Feb,1978,0
16,16-Feb,Feb,1978,0
17,17-Feb,Feb,1978,0
18,18-Feb,Feb,1978,0
19,19-Feb,Feb,1978,0
20,20-Feb,Feb,1978,0
21,21-Feb,Feb,1978,0
22,22-Feb,Feb,1978,0
23,23-Feb,Feb,1978,0
24,24-Feb,Feb,1978,0
25,25-Feb,Feb,1978,0
26,26-Feb,Feb,1978,0
27,27-Feb,Feb,1978,0
28,28-Feb,Feb,1978,0
1,1-Mar,Mar,1978,0
2,2-Mar,Mar,1978,0
3,3-Mar,Mar,1978,0
4,4-Mar,Mar,1978,0
